"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 07 16:35:41 UTC 2026","Thu May 07 16:35:41 UTC 2026","19","tests","test_tcp_ports","TestTCPPorts","","","Verify TCP Port is Open and Responsive","Performs a TCP 3-way handshake and verifies the port is open and responds within the configured timeout."
"passed","Thu May 07 16:35:41 UTC 2026","Thu May 07 16:35:41 UTC 2026","92","tests","test_http_health","TestHTTPHealth","","","Verify TLS Certificate Expiry","Retrieves the TLS certificate and verifies it does not expire within the next 30 days."
"passed","Thu May 07 16:35:40 UTC 2026","Thu May 07 16:35:41 UTC 2026","1002","tests","test_http_health","TestHTTPHealth","","","Verify HTTP Status Code is 200 OK","Sends an HTTP GET request and verifies the server returns a successful status."
"passed","Thu May 07 16:35:41 UTC 2026","Thu May 07 16:35:41 UTC 2026","19","tests","test_tcp_ports","TestTCPPorts","","","Verify TCP Port is Open and Responsive","Performs a TCP 3-way handshake and verifies the port is open and responds within the configured timeout."
"skipped","Thu May 07 16:35:41 UTC 2026","Thu May 07 16:35:41 UTC 2026","0","tests","test_http_health","TestHTTPHealth","","","Verify TLS Certificate Expiry","Retrieves the TLS certificate and verifies it does not expire within the next 30 days."
"passed","Thu May 07 16:35:40 UTC 2026","Thu May 07 16:35:40 UTC 2026","25","tests","test_dns_health","TestDNSHealth","","","Verify Domain Name Resolution (A Record)","Performs a DNS query and verifies the domain resolves to a valid IP, or fails with NXDOMAIN for an invalid domain."
"passed","Thu May 07 16:35:41 UTC 2026","Thu May 07 16:35:41 UTC 2026","12","tests","test_tcp_ports","TestTCPPorts","","","Verify TCP Port is Open and Responsive","Performs a TCP 3-way handshake and verifies the port is open and responds within the configured timeout."
"passed","Thu May 07 16:35:40 UTC 2026","Thu May 07 16:35:40 UTC 2026","161","tests","test_http_health","TestHTTPHealth","","","Verify HTTP Status Code is 200 OK","Sends an HTTP GET request and verifies the server returns a successful status."
"passed","Thu May 07 16:35:41 UTC 2026","Thu May 07 16:35:42 UTC 2026","1002","tests","test_tcp_ports","TestTCPPorts","","","Verify TCP Port is Open and Responsive","Performs a TCP 3-way handshake and verifies the port is open and responds within the configured timeout."
